id;categoria;tema;dificuldade;cenario;pergunta;alternativa_a;alternativa_b;alternativa_c;alternativa_d;resposta_correta;explicacao;sinal_de_risco;nivel_alerta;pontos;tempo_segundos;ativo
1;Phishing por e-mail;Remetente externo;Fácil;Um remetente externo pede envio de planilha e nota fiscal por uma pasta de nuvem não aprovada.;Qual é a atitude mais segura nessa situação?;Executar o pedido e revisar a segurança depois.;Usar apenas canal corporativo autorizado e validar domínio, link e permissão solicitada.;Ignorar o fluxo oficial porque parece uma solicitação simples.;Compartilhar as informações pedidas para ganhar tempo.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: remetente externo + urgência + pedido fora do processo.;remetente externo + urgência + pedido fora do processo;Alerta Amarelo;10;35;sim
2;Phishing por e-mail;Remetente externo;Médio;No ambiente corporativo, um remetente externo pede envio de planilha e nota fiscal por uma pasta de nuvem não aprovada.;Antes de seguir, qual ação reduz melhor o risco?;Compartilhar as informações pedidas para ganhar tempo.;Confiar apenas no nome exibido na mensagem.;Encaminhar o caso para um colega resolver sem registrar.;Usar apenas canal corporativo autorizado e validar domínio, link e permissão solicitada.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: remetente externo + urgência + pedido fora do processo.;remetente externo + urgência + pedido fora do processo;Alerta Laranja;15;45;sim
3;Phishing por e-mail;Remetente externo;Médio;Durante a rotina de trabalho, um remetente externo pede envio de planilha e nota fiscal por uma pasta de nuvem não aprovada.;Qual resposta mantém o processo corporativo seguro?;Encaminhar o caso para um colega resolver sem registrar.;Usar apenas canal corporativo autorizado e validar domínio, link e permissão solicitada.;Fazer o procedimento fora do canal corporativo autorizado.;Assumir que é seguro porque a mensagem parece profissional.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: remetente externo + urgência + pedido fora do processo.;remetente externo + urgência + pedido fora do processo;Alerta Laranja;15;45;sim
4;Phishing por e-mail;Remetente externo;Difícil;Em um atendimento interno, um remetente externo pede envio de planilha e nota fiscal por uma pasta de nuvem não aprovada.;O que o colaborador deve fazer para evitar o golpe?;Assumir que é seguro porque a mensagem parece profissional.;Baixar o anexo e abrir para confirmar o conteúdo.;Clicar no link para verificar se a página parece legítima.;Usar apenas canal corporativo autorizado e validar domínio, link e permissão solicitada.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: remetente externo + urgência + pedido fora do processo.;remetente externo + urgência + pedido fora do processo;Alerta Vermelho;20;60;sim
5;Phishing por e-mail;Remetente externo;Difícil;Você está analisando uma solicitação: um remetente externo pede envio de planilha e nota fiscal por uma pasta de nuvem não aprovada.;Qual decisão demonstra melhor comportamento de segurança?;Clicar no link para verificar se a página parece legítima.;Usar apenas canal corporativo autorizado e validar domínio, link e permissão solicitada.;Responder ao e-mail pedindo mais detalhes ao remetente externo.;Inserir login e senha para liberar o suposto documento.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: remetente externo + urgência + pedido fora do processo.;remetente externo + urgência + pedido fora do processo;Alerta Vermelho;20;60;sim
6;Phishing por e-mail;Domínio parecido;Fácil;Você recebe e-mail de cobrança vindo de um domínio quase igual ao de um fornecedor conhecido.;Qual é a atitude mais segura nessa situação?;Fazer o procedimento fora do canal corporativo autorizado.;Assumir que é seguro porque a mensagem parece profissional.;Baixar o anexo e abrir para confirmar o conteúdo.;Comparar o domínio com cadastro oficial e confirmar com o fornecedor por contato já registrado.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: domínio parecido com troca de letras.;domínio parecido com troca de letras;Alerta Amarelo;10;35;sim
7;Phishing por e-mail;Domínio parecido;Médio;No ambiente corporativo, você recebe e-mail de cobrança vindo de um domínio quase igual ao de um fornecedor conhecido.;Antes de seguir, qual ação reduz melhor o risco?;Baixar o anexo e abrir para confirmar o conteúdo.;Comparar o domínio com cadastro oficial e confirmar com o fornecedor por contato já registrado.;Clicar no link para verificar se a página parece legítima.;Responder ao e-mail pedindo mais detalhes ao remetente externo.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: domínio parecido com troca de letras.;domínio parecido com troca de letras;Alerta Laranja;15;45;sim
8;Phishing por e-mail;Domínio parecido;Médio;Durante a rotina de trabalho, você recebe e-mail de cobrança vindo de um domínio quase igual ao de um fornecedor conhecido.;Qual resposta mantém o processo corporativo seguro?;Responder ao e-mail pedindo mais detalhes ao remetente externo.;Inserir login e senha para liberar o suposto documento.;Aprovar o pedido porque menciona nota fiscal ou cobrança.;Comparar o domínio com cadastro oficial e confirmar com o fornecedor por contato já registrado.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: domínio parecido com troca de letras.;domínio parecido com troca de letras;Alerta Laranja;15;45;sim
9;Phishing por e-mail;Domínio parecido;Difícil;Em um atendimento interno, você recebe e-mail de cobrança vindo de um domínio quase igual ao de um fornecedor conhecido.;O que o colaborador deve fazer para evitar o golpe?;Aprovar o pedido porque menciona nota fiscal ou cobrança.;Comparar o domínio com cadastro oficial e confirmar com o fornecedor por contato já registrado.;Responder rapidamente para não atrasar a operação.;Executar o pedido e revisar a segurança depois.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: domínio parecido com troca de letras.;domínio parecido com troca de letras;Alerta Vermelho;20;60;sim
10;Phishing por e-mail;Domínio parecido;Difícil;Você está analisando uma solicitação: você recebe e-mail de cobrança vindo de um domínio quase igual ao de um fornecedor conhecido.;Qual decisão demonstra melhor comportamento de segurança?;Executar o pedido e revisar a segurança depois.;Ignorar o fluxo oficial porque parece uma solicitação simples.;Compartilhar as informações pedidas para ganhar tempo.;Comparar o domínio com cadastro oficial e confirmar com o fornecedor por contato já registrado.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: domínio parecido com troca de letras.;domínio parecido com troca de letras;Alerta Vermelho;20;60;sim
